OrderID,SkuID,Quantity
Order0,Sku108,3
Order1,Sku1432,2
Order1,Sku531,3
Order1,Sku940,1
Order1,Sku315,1
Order1,Sku694,3
Order2,Sku1130,3
Order2,Sku634,3
Order3,Sku1143,3
Order3,Sku1233,1
Order4,Sku394,1
Order4,Sku1076,1
Order5,Sku1941,3
Order5,Sku686,3
Order6,Sku624,1
Order7,Sku687,1
Order8,Sku1261,1
Order9,Sku218,1
Order9,Sku975,2
Order10,Sku260,1
Order10,Sku354,2
Order10,Sku600,2
Order10,Sku312,3
Order10,Sku1887,2
Order11,Sku191,1
Order11,Sku218,3
Order11,Sku497,2
Order12,Sku540,3
Order12,Sku255,1
Order13,Sku714,2
Order13,Sku1684,1
Order13,Sku566,1
Order13,Sku316,1
Order13,Sku1787,3
Order14,Sku1910,3
Order15,Sku1417,2
Order15,Sku738,3
Order15,Sku1408,3
Order16,Sku1949,2
Order17,Sku1065,2
Order17,Sku619,1
Order17,Sku1626,3
Order17,Sku1258,3
Order17,Sku1653,1
Order18,Sku1634,3
Order18,Sku820,2
Order18,Sku775,3
Order18,Sku699,1
Order18,Sku736,3
Order19,Sku809,3
Order19,Sku796,2
Order19,Sku1080,2
Order19,Sku896,3
Order20,Sku606,2
Order20,Sku789,2
Order20,Sku1336,1
Order21,Sku1315,3
Order21,Sku152,3
Order21,Sku1177,3
Order21,Sku1078,1
Order21,Sku1465,3
Order22,Sku536,3
Order22,Sku1924,1
Order22,Sku798,2
Order22,Sku928,3
Order22,Sku1127,2
Order23,Sku1557,2
Order23,Sku1176,1
Order23,Sku64,2
Order23,Sku1266,2
Order23,Sku1070,3
Order24,Sku267,1
Order24,Sku1377,2
Order25,Sku1252,2
Order25,Sku648,3
Order26,Sku685,1
Order26,Sku53,1
Order26,Sku938,2
Order26,Sku859,3
Order26,Sku1698,2
Order27,Sku1479,2
Order27,Sku1380,1
Order28,Sku1811,3
Order28,Sku1430,2
Order28,Sku385,1
Order28,Sku692,2
Order29,Sku1389,1
Order29,Sku1538,1
Order30,Sku831,1
Order31,Sku849,3
Order31,Sku162,2
Order32,Sku1237,1
Order32,Sku371,3
Order32,Sku1879,3
Order33,Sku1090,1
Order34,Sku933,1
Order35,Sku512,2
Order35,Sku642,3
Order36,Sku1802,1
Order36,Sku1650,3
Order36,Sku1154,1
Order37,Sku1321,1
Order38,Sku184,2
Order38,Sku163,3
Order38,Sku324,1
Order38,Sku1002,3
Order39,Sku1829,2
Order39,Sku928,3
Order39,Sku962,3
Order39,Sku1110,2
Order39,Sku1072,2
Order40,Sku1254,3
Order40,Sku1157,1
Order40,Sku1114,1
Order40,Sku1491,1
Order41,Sku558,3
Order42,Sku1306,2
Order42,Sku104,3
Order42,Sku1233,3
Order42,Sku156,3
Order42,Sku348,2
Order43,Sku214,1
Order43,Sku1854,2
Order43,Sku721,3
Order43,Sku1495,2
Order44,Sku1256,1
Order45,Sku1275,2
Order45,Sku1753,3
Order45,Sku723,3
Order45,Sku1013,1
Order46,Sku453,3
Order47,Sku1822,3
Order48,Sku1059,2
Order48,Sku1182,1
Order48,Sku1530,2
Order48,Sku0,2
Order48,Sku1679,2
Order49,Sku800,2
Order49,Sku1263,2
Order50,Sku1123,2
Order50,Sku1298,1
Order50,Sku662,1
Order50,Sku1869,3
Order51,Sku180,3
Order51,Sku1482,1
Order51,Sku1747,1
Order51,Sku1456,1
Order52,Sku1657,2
Order52,Sku1451,3
Order52,Sku570,3
Order53,Sku887,2
Order53,Sku679,3
Order53,Sku80,3
Order54,Sku137,1
Order54,Sku1501,2
